"title","description","tags","category"
"Fix login bug","Users cannot authenticate after deploy","backend,bug,client","WORK"
"Rezolva bug urgent la login","Clientul nu se poate autentifica","backend,bug,client","WORK"
"Fix payment gateway timeout","Payments fail randomly during checkout","payment,backend","WORK"
"Rezolva eroare la plata","Platile online esueaza aleatoriu","plata,backend,critic","WORK"
"Critical production outage","Main API is down for all users","production,outage,urgent","WORK"
"Cadere critica productie","API-ul principal este indisponibil pentru toti utilizatorii","productie,outage,urgent","WORK"
"Update onboarding documentation","Add new screenshots and setup steps","docs,onboarding","WORK"
"Actualizeaza documentatia","Adauga capturi noi si pasi de instalare","documentatie,onboarding","WORK"
"Prepare sprint presentation","Create slides for sprint review meeting","presentation,sprint","WORK"
"Pregateste prezentarea sprintului","Creeaza slide-uri pentru sprint review","prezentare,sprint","WORK"
"Database migration failed","Migration script crashes on staging","database,migration,bug","WORK"
"Eroare la migrare baza de date","Scriptul de migrare se opreste pe staging","database,migrare,bug","WORK"
"Refactor authentication module","Improve JWT validation and cleanup old code","backend,refactor,auth","WORK"
"Refactorizare modul autentificare","Imbunatateste validarea JWT","backend,refactorizare,auth","WORK"
"Client demo tomorrow","Prepare working demo for enterprise client","demo,client,deadline","WORK"
"Demo client maine","Pregateste demo pentru clientul enterprise","demo,client,deadline","WORK"
"Hotfix for mobile crash","Android app crashes after latest release","mobile,hotfix,critical","WORK"
"Hotfix pentru crash pe mobil","Aplicatia Android se inchide dupa ultimul release","mobile,hotfix,critic","WORK"
"Review pull requests","Several PRs are waiting for approval","github,review","WORK"
"Review pentru pull request-uri","Verifica PR-urile inainte de merge","review,github","WORK"
"Deploy API changes","Deploy latest backend release to production","deploy,backend,release","WORK"
"Deploy modificari API","Publica noua versiune backend in productie","deploy,backend,release","WORK"
"Investigate memory leak","Application RAM usage keeps increasing","performance,bug,backend","WORK"
"Investigheaza memory leak","Aplicatia consuma din ce in ce mai mult RAM","performanta,bug,backend","WORK"
"Meeting with stakeholders","Discuss roadmap and priorities","meeting,business","WORK"
"Sedinta cu stakeholderii","Discutie despre roadmap si prioritati","meeting,business","WORK"
"Fix CSS issue on homepage","Navbar breaks on smaller screens","frontend,ui,bug","WORK"
"Rezolva problema CSS","Navbar-ul se strica pe ecrane mici","frontend,ui,bug","WORK"
"Optimize database queries","Slow queries affect dashboard loading","database,performance","WORK"
"Optimizeaza query-urile","Dashboard-ul se incarca foarte greu","database,performanta","WORK"
"Production login broken","Users report authentication failures","production,login,urgent","WORK"
"Login-ul din productie nu merge","Utilizatorii nu se pot autentifica","productie,login,urgent","WORK"
"Answer client emails","Respond to pending support questions","support,client","WORK"
"Raspunde la emailurile clientilor","Rezolva intrebarile din support","support,client","WORK"
"Implement search feature","Add filtering and keyword search","feature,frontend,backend","WORK"
"Implementeaza functionalitate search","Adauga filtrare si cautare","feature,frontend,backend","WORK"
"Server disk almost full","Production server storage reached 95%","server,urgent,infrastructure","WORK"
"Spatiu pe server aproape plin","Serverul de productie a ajuns la 95% storage","server,urgent,infrastructura","WORK"
"Write unit tests","Increase backend test coverage","testing,backend","WORK"
"Scrie teste unitare","Creste code coverage-ul pe backend","testing,backend","WORK"
"Fix notification service","Emails are not being delivered","notifications,email,bug","WORK"
"Rezolva serviciul de notificari","Emailurile nu sunt trimise","notificari,email,bug","WORK"
"Fix session timeout issue","Users are logged out too quickly after inactivity","backend,auth,bug","WORK"
"Critical API latency","Response times increased drastically in production","api,performance,urgent","WORK"
"Investigate failed deployment","Deployment pipeline stopped during release","deploy,ci-cd,critical","WORK"
"Prepare monthly report","Generate analytics and KPI summary for management","reporting,analytics","WORK"
"Database connection instability","Random disconnects detected on PostgreSQL","database,backend,incident","WORK"
"Update user permissions","Adjust roles for new team members","security,permissions","WORK"
"Fix broken registration flow","New users cannot create accounts","frontend,backend,bug","WORK"
"Production alerts triggered","Monitoring detected high CPU usage","monitoring,production,urgent","WORK"
"Implement audit logging","Track sensitive actions in the system","security,logging","WORK"
"Client escalation issue","Enterprise customer reported data inconsistency","client,urgent,support","WORK"
"Optimize image loading","Large images slow down dashboard rendering","frontend,performance","WORK"
"Server restart required","Memory usage exceeded safe threshold","server,infrastructure,urgent","WORK"
"Review security vulnerabilities","Dependencies contain critical CVEs","security,dependencies,critical","WORK"
